mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.023101282119750977,0.0021656240577282667,0.0032557010650634765,0.00021906184483994775,7,250,"{'max_depth': 7, 'max_features': 250}",0.5625,0.53125,0.5078125,0.5546875,0.5625,0.54375,0.0213096589015404,29
0.028525733947753908,0.00419318477526186,0.003421306610107422,0.0014143634213644011,7,500,"{'max_depth': 7, 'max_features': 500}",0.5703125,0.5546875,0.6015625,0.546875,0.5234375,0.559375,0.025958199571618983,24
0.03365955352783203,0.0011627079835277445,0.002428579330444336,0.000535630553676552,7,1000,"{'max_depth': 7, 'max_features': 1000}",0.59375,0.6171875,0.6328125,0.609375,0.5859375,0.6078125,0.016682934768798924,9
0.051230573654174806,0.004289588215653201,0.0030731201171875,0.00015461944661705418,7,2000,"{'max_depth': 7, 'max_features': 2000}",0.5859375,0.5859375,0.546875,0.609375,0.6328125,0.5921875,0.028555729503901665,17
0.06442732810974121,0.000708520785406481,0.0027390003204345705,0.0006770857518274749,7,3000,"{'max_depth': 7, 'max_features': 3000}",0.6015625,0.609375,0.59375,0.609375,0.609375,0.6046875,0.00625,11
0.08070378303527832,0.0016318532948371447,0.002626371383666992,0.00045217071070347584,7,4000,"{'max_depth': 7, 'max_features': 4000}",0.625,0.609375,0.578125,0.609375,0.6171875,0.6078125,0.015934435979977454,9
0.09517769813537598,0.0037103919370862822,0.0030674457550048826,0.00011618921868719431,7,5000,"{'max_depth': 7, 'max_features': 5000}",0.6171875,0.609375,0.59375,0.65625,0.6171875,0.61875,0.020610790559801435,4
0.10346612930297852,0.0005943042776565347,0.0029915809631347657,6.717483131982085e-06,7,5578,"{'max_depth': 7, 'max_features': 5578}",0.6171875,0.609375,0.5625,0.65625,0.625,0.6140625,0.03029799910885206,6
0.016173028945922853,0.00045435469592281576,0.0027979373931884765,0.0005193746925978746,10,10,"{'max_depth': 10, 'max_features': 10}",0.515625,0.515625,0.515625,0.5,0.5234375,0.5140625,0.007654655446197431,41
0.016449689865112305,0.0004417810449523204,0.0025769710540771485,0.00047803396236923405,10,15,"{'max_depth': 10, 'max_features': 15}",0.515625,0.5,0.5078125,0.578125,0.515625,0.5234375,0.02795084971874737,37
0.016557025909423827,0.000374981673044748,0.002681541442871094,0.0003991921777565103,10,25,"{'max_depth': 10, 'max_features': 25}",0.5390625,0.515625,0.5625,0.5078125,0.5625,0.5375,0.022857404434887176,31
0.017261266708374023,0.0005163924731130576,0.0027901649475097655,0.0003937967804987364,10,50,"{'max_depth': 10, 'max_features': 50}",0.546875,0.5703125,0.5390625,0.546875,0.5234375,0.5453125,0.015148999554426027,27
0.018713092803955077,0.00026881077224336525,0.0026267051696777345,0.0005376722719659593,10,100,"{'max_depth': 10, 'max_features': 100}",0.5546875,0.53125,0.4921875,0.5234375,0.5546875,0.53125,0.023175620272173948,34
